Date,Category,Payment_Mode,Description,Amount,Cashback
2024-01-12,Bills,Credit card,Settled electricity charges,476.03,6.26
2024-01-08,Transportation,wallet,Paid for public transport pass,113.23,10.14
2024-01-23,Investment,wallet,Invested in cryptocurrency,56.32,16.26
2024-01-28,Bills,wallet,Paid the gas bill for this month,343.08,16.44
2024-01-07,Stationary,Cash,Bought a new set of markers and notepads,327.59,10.82
2024-01-02,Investment,Debit card,Invested in cryptocurrency,198.67,12.22
2024-01-25,Groceries,wallet,Supermarket shopping for household items,137.13,8.21
2024-01-13,Bills,Credit card,Payment for high-speed internet,281.81,16.78
2024-01-09,Groceries,Cash,Supermarket shopping for essentials,132.72,17.28
2024-01-01,Groceries,Credit card,Supermarket shopping for household items,166.44,10.43
2024-01-08,Investment,wallet,Bought new shares in a company,427.07,6.05
2024-01-02,Bills,Debit card,Paid the electricity bill for the month,295.6,16.06
2024-01-11,Investment,UPI,Bought new shares in a company,130.92,18.64
2024-01-30,Transportation,Cash,Paid for public transport pass,263.5,12.38
2024-01-17,Subscription,Credit card,Prime membership renewal,375.02,12.92
2024-01-18,Bills,Debit card,WiFi charges for the month,181.68,12.26
2024-01-27,Subscription,UPI,Prime membership renewal,319.5,15.78
2024-01-02,Transportation,Cash,Uber ride for the week,384.77,18.98
2024-01-19,Transportation,wallet,Taxi fare to the office,369.12,5.07
2024-01-09,Bills,Credit card,Settled internet bill,288.73,13.05
2024-01-15,Subscription,UPI,Monthly Hotstar subscription,487.09,8.13
2024-01-17,Subscription,Debit card,Paid for Netflix subscription,130.76,10.27
2024-01-14,Investment,UPI,Invested in cryptocurrency,377.39,5.0
2024-01-23,Transportation,wallet,Bus fare for commuting,26.26,8.44
2024-01-16,Transportation,Debit card,Uber ride for the week,372.74,6.36
2024-01-19,Subscription,wallet,Paid for Netflix subscription,277.89,8.77
2024-01-16,Investment,Debit card,Invested in mutual funds,238.02,9.34
2024-01-28,Transportation,UPI,Fuel refill for the car,156.69,14.06
2024-01-21,Transportation,Credit card,Uber ride for the week,491.67,8.33
2024-01-29,Investment,wallet,Invested in mutual funds,350.7,7.43
2024-01-14,Bills,wallet,WiFi charges for the month,95.8,5.76
2024-01-04,Groceries,Cash,Supermarket shopping for essentials,485.43,9.52
2024-01-20,Investment,Cash,Investment in stocks,240.68,8.5
2024-01-29,Groceries,Cash,Supermarket shopping for household items,200.74,17.26
2024-01-05,Bills,Credit card,Water bill for the month,226.66,6.8
2024-01-12,Stationary,UPI,Bought stationery for the office,469.29,15.59
2024-01-05,Bills,Debit card,Paid for monthly WiFi subscription,164.7,12.65
2024-01-27,Stationary,wallet,Bought a new set of markers and notepads,431.4,18.19
2024-01-21,Groceries,Credit card,Supermarket shopping for essentials,150.42,17.48
2024-01-11,Groceries,UPI,Grocery shopping for fruits and vegetables,488.09,11.08
2024-01-02,Groceries,UPI,Bought snacks and drinks,241.93,5.84
2024-01-05,Transportation,Cash,Uber ride for the week,393.88,8.39
2024-01-26,Groceries,Credit card,Bought snacks and drinks,383.51,14.31
2024-01-29,Investment,UPI,Invested in cryptocurrency,471.37,7.68
2024-01-09,Bills,wallet,Paid the electricity bill for the month,284.36,14.76
2024-01-24,Stationary,UPI,Office supplies for the new quarter,467.42,19.22
2024-01-03,Bills,Credit card,Settled the monthly gas charges,203.38,5.98
2024-01-22,Stationary,Cash,Bought stationery for the office,111.76,9.52
2024-01-22,Groceries,Cash,Weekly grocery run,455.57,5.69
2024-01-10,Subscription,Credit card,Monthly Hotstar subscription,214.69,18.23
2024-01-15,Groceries,Credit card,Supermarket shopping for essentials,375.69,6.0
2024-01-03,Transportation,Cash,Bus fare for commuting,437.9,14.98
2024-01-01,Stationary,Debit card,Office supplies for the new quarter,92.54,16.28
2024-01-06,Subscription,UPI,Paid for online entertainment subscription,33.81,7.97
2024-01-25,Stationary,UPI,School supplies shopping,201.59,5.25
2024-01-06,Transportation,Debit card,Paid for public transport pass,106.19,18.41
2024-01-24,Transportation,Debit card,Bus fare for commuting,95.33,6.16
2024-01-17,Bills,Cash,WiFi charges for the month,246.18,9.21
2024-01-19,Transportation,wallet,Fuel refill for the car,203.92,14.03
2024-01-19,Stationary,Debit card,"Purchased pens notebooks, and other office supplies",308.13,13.13
2024-01-20,Investment,wallet,Bought new shares in a company,195.99,18.29
2024-01-29,Stationary,Debit card,Bought a new set of markers and notepads,138.25,11.82
2024-01-07,Subscription,UPI,Paid for Netflix subscription,74.43,19.41
2024-01-20,Bills,Credit card,Monthly water bill payment,405.59,18.92
2024-01-17,Stationary,UPI,Bought a new set of markers and notepads,273.71,5.08
2024-01-17,Stationary,Credit card,Office supplies for the new quarter,132.46,6.98
2024-01-30,Transportation,Cash,Bus fare for commuting,433.08,18.08
2024-01-14,Investment,Credit card,Invested in mutual funds,198.04,8.34
2024-01-01,Groceries,Debit card,Weekly grocery run,290.7,5.78
2024-01-25,Stationary,Cash,Office supplies for the new quarter,47.36,15.8
2024-01-10,Transportation,Cash,Fuel refill for the car,445.11,14.79
2024-01-14,Groceries,wallet,Bought snacks and drinks,324.56,16.06
2024-01-02,Bills,wallet,Settled the water bill,431.92,15.96
2024-01-25,Stationary,wallet,Bought stationery for the office,90.32,17.73
2024-01-23,Bills,wallet,Electricity bill for the current month,287.48,19.02
2024-01-04,Stationary,UPI,School supplies shopping,183.31,16.05
2024-01-09,Investment,wallet,Bought new shares in a company,282.49,19.59
2024-01-25,Stationary,Cash,"Purchased pens notebooks, and other office supplies",415.92,5.58
2024-01-27,Groceries,Cash,Grocery shopping for fruits and vegetables,42.5,16.12
2024-01-28,Stationary,Debit card,Bought stationery for the office,24.89,19.43
2024-01-02,Investment,Credit card,Invested in cryptocurrency,37.81,8.29
2024-01-14,Bills,UPI,Settled electricity charges,395.93,8.85
2024-01-21,Stationary,wallet,Bought stationery for the office,177.49,19.15
2024-01-21,Subscription,wallet,Monthly Hotstar subscription,179.15,13.27
2024-01-27,Investment,wallet,Monthly contribution to retirement fund,490.8,9.32
2024-01-27,Stationary,wallet,Bought a new set of markers and notepads,401.14,6.55
2024-01-02,Transportation,UPI,Paid for public transport pass,302.69,12.48
2024-01-22,Investment,Cash,Monthly contribution to retirement fund,391.25,7.35
2024-01-19,Investment,UPI,Invested in mutual funds,55.43,8.29
2024-01-17,Groceries,Cash,Bought snacks and drinks,389.48,11.86
2024-01-19,Groceries,UPI,Grocery shopping for fruits and vegetables,318.45,16.04
2024-01-23,Stationary,UPI,Office supplies for the new quarter,203.42,8.95
2024-01-26,Stationary,Credit card,Bought a new set of markers and notepads,256.85,7.29
2024-01-22,Transportation,UPI,Uber ride for the week,201.82,14.0
2024-01-27,Groceries,UPI,Grocery shopping for fruits and vegetables,349.61,8.22
2024-01-28,Transportation,Credit card,Taxi fare to the office,373.84,18.02
2024-01-02,Bills,Credit card,Settled the water bill,324.9,15.07
2024-01-06,Investment,UPI,Invested in cryptocurrency,106.56,16.34
2024-01-29,Bills,Debit card,Payment for water usage,66.85,10.01
2024-01-06,Transportation,UPI,Taxi fare to the office,228.61,16.01
2024-01-10,Subscription,UPI,Monthly Hotstar subscription,83.11,17.55
2024-01-12,Stationary,wallet,Bought stationery for the office,101.11,12.21
2024-01-18,Investment,Credit card,Invested in mutual funds,417.46,15.67
2024-01-04,Bills,wallet,Paid the electricity bill for the month,188.97,15.83
2024-01-24,Stationary,Debit card,School supplies shopping,159.67,5.33
2024-01-01,Groceries,Cash,Grocery shopping for fruits and vegetables,372.28,8.68
2024-01-10,Groceries,Cash,Grocery shopping for fruits and vegetables,101.39,12.98
2024-01-17,Bills,Debit card,Payment for water usage,209.41,6.11
2024-01-22,Transportation,Cash,Bus fare for commuting,66.53,6.23
2024-01-26,Subscription,Credit card,Prime membership renewal,224.94,16.24
2024-01-06,Subscription,Cash,Paid for online entertainment subscription,100.78,13.12
2024-01-15,Stationary,wallet,School supplies shopping,301.58,9.78
2024-01-11,Bills,UPI,Monthly water bill payment,468.3,18.0
2024-01-05,Investment,UPI,Monthly contribution to retirement fund,318.69,17.07
2024-01-01,Bills,wallet,Settled the water bill,386.77,17.68
2024-01-08,Subscription,Cash,Paid for online entertainment subscription,323.15,17.73
2024-01-25,Transportation,Debit card,Uber ride for the week,60.05,9.44
2024-01-29,Groceries,Credit card,Bought snacks and drinks,359.85,5.71
2024-01-29,Stationary,wallet,Bought stationery for the office,486.04,7.94
2024-01-25,Investment,Credit card,Monthly contribution to retirement fund,70.72,10.32
2024-02-01,Investment,Cash,Monthly contribution to retirement fund,107.28,7.83
2024-02-22,Groceries,UPI,Supermarket shopping for essentials,332.35,14.47
2024-02-06,Stationary,UPI,Bought a new set of markers and notepads,235.78,14.27
2024-02-24,Transportation,Cash,Taxi fare to the office,20.71,17.75
2024-02-01,Groceries,Credit card,Supermarket shopping for household items,197.07,12.57
2024-02-12,Subscription,Credit card,Monthly Hotstar subscription,348.69,9.03
2024-02-13,Groceries,Cash,Supermarket shopping for household items,121.24,6.41
2024-02-01,Investment,UPI,Invested in cryptocurrency,378.8,9.23
2024-02-11,Investment,UPI,Bought new shares in a company,454.27,15.35
2024-02-17,Investment,Cash,Invested in cryptocurrency,75.52,9.39
2024-02-13,Investment,wallet,Invested in mutual funds,353.12,17.77
2024-02-01,Groceries,Credit card,Weekly grocery run,305.35,10.8
2024-02-18,Groceries,Debit card,Grocery shopping for fruits and vegetables,198.18,15.67
2024-02-01,Transportation,Cash,Bus fare for commuting,117.5,5.25
2024-02-17,Transportation,Cash,Fuel refill for the car,146.37,13.73
2024-02-24,Bills,wallet,Monthly water bill payment,190.07,18.92
2024-02-04,Groceries,Cash,Supermarket shopping for household items,212.09,10.05
2024-02-03,Subscription,Credit card,Streaming services subscription,138.06,9.69
2024-02-06,Transportation,wallet,Paid for public transport pass,389.66,13.27
2024-02-20,Stationary,UPI,Bought a new set of markers and notepads,260.34,7.49
2024-02-12,Transportation,Debit card,Uber ride for the week,331.7,19.31
2024-02-02,Transportation,Cash,Bus fare for commuting,61.8,13.69
2024-02-16,Subscription,Cash,Monthly Hotstar subscription,417.24,16.59
2024-02-10,Subscription,Debit card,Monthly Hotstar subscription,156.75,9.39
2024-02-05,Subscription,Cash,Streaming services subscription,24.1,11.82
2024-02-11,Transportation,Credit card,Paid for public transport pass,336.05,17.8
2024-02-04,Bills,Debit card,Settled internet bill,404.49,18.98
2024-02-03,Stationary,UPI,Office supplies for the new quarter,268.61,7.82
2024-02-26,Stationary,wallet,"Purchased pens notebooks, and other office supplies",42.12,15.41
2024-02-26,Bills,Cash,Payment for water usage,141.36,12.5
2024-02-19,Transportation,UPI,Paid for public transport pass,106.0,5.77
2024-02-27,Groceries,Cash,Bought snacks and drinks,297.65,13.13
2024-02-18,Groceries,wallet,Supermarket shopping for essentials,131.2,12.25
2024-02-20,Subscription,Debit card,Paid for online entertainment subscription,265.71,11.05
2024-02-01,Transportation,Credit card,Fuel refill for the car,472.01,13.5
2024-02-12,Bills,wallet,Water bill for the month,319.03,15.25
2024-02-02,Subscription,UPI,Prime membership renewal,426.29,9.88
2024-02-21,Stationary,UPI,Bought a new set of markers and notepads,138.83,19.03
2024-02-17,Groceries,UPI,Grocery shopping for fruits and vegetables,432.92,5.47
2024-02-09,Bills,UPI,Paid the water utility bill,477.07,15.69
2024-02-05,Subscription,Debit card,Streaming services subscription,155.68,16.59
2024-02-23,Subscription,Debit card,Monthly Hotstar subscription,435.88,19.27
2024-02-02,Subscription,wallet,Monthly Hotstar subscription,184.35,18.12
2024-02-23,Subscription,Debit card,Paid for online entertainment subscription,276.05,11.86
2024-02-21,Transportation,Cash,Paid for public transport pass,463.44,5.29
2024-02-23,Transportation,Cash,Fuel refill for the car,345.66,7.93
2024-02-28,Stationary,Credit card,Office supplies for the new quarter,360.24,12.99
2024-02-13,Stationary,Cash,Bought stationery for the office,187.95,9.01
2024-02-08,Subscription,Cash,Streaming services subscription,284.73,16.57
2024-02-01,Groceries,wallet,Weekly grocery run,494.57,12.76
2024-02-24,Investment,Cash,Bought new shares in a company,459.85,17.43
2024-02-23,Groceries,UPI,Bought snacks and drinks,272.87,12.94
2024-02-06,Bills,Cash,Gas service payment,261.64,9.32
2024-02-23,Transportation,Debit card,Taxi fare to the office,138.21,13.36
2024-02-14,Bills,UPI,Settled the monthly gas charges,297.91,10.11
2024-02-21,Groceries,Cash,Supermarket shopping for essentials,140.5,18.9
2024-02-08,Bills,Credit card,Payment for high-speed internet,330.39,12.32
2024-02-09,Stationary,Cash,Bought a new set of markers and notepads,390.29,15.75
2024-02-10,Investment,UPI,Investment in stocks,398.23,19.08
2024-02-25,Stationary,Cash,Office supplies for the new quarter,187.13,19.92
2024-02-12,Stationary,Cash,Bought stationery for the office,398.81,17.2
2024-02-14,Transportation,Credit card,Bus fare for commuting,222.04,13.13
2024-02-13,Groceries,Credit card,Supermarket shopping for essentials,341.57,15.42
2024-02-02,Investment,wallet,Invested in cryptocurrency,262.77,12.38
2024-02-16,Groceries,wallet,Supermarket shopping for essentials,254.24,11.66
2024-02-28,Subscription,Debit card,Prime membership renewal,114.7,18.65
2024-02-25,Subscription,Cash,Streaming services subscription,142.45,12.1
2024-02-01,Bills,Credit card,Payment for high-speed internet,169.18,12.79
2024-02-18,Subscription,Debit card,Prime membership renewal,54.37,12.32
2024-02-14,Bills,UPI,Settled the water bill,177.58,10.11
2024-02-05,Investment,Cash,Investment in stocks,499.31,13.44
2024-02-08,Investment,Credit card,Monthly contribution to retirement fund,52.59,6.18
2024-02-13,Transportation,Cash,Uber ride for the week,363.71,8.14
2024-02-06,Bills,wallet,Monthly electricity bill payment,190.74,11.25
2024-02-07,Groceries,Debit card,Supermarket shopping for household items,494.99,18.38
2024-02-05,Stationary,Credit card,"Purchased pens notebooks, and other office supplies",132.69,5.23
2024-02-22,Bills,wallet,WiFi charges for the month,241.67,13.6
2024-02-08,Groceries,Debit card,Bought snacks and drinks,331.54,7.76
2024-02-26,Transportation,wallet,Fuel refill for the car,120.28,6.05
2024-02-28,Investment,wallet,Bought new shares in a company,263.79,11.3
2024-02-08,Investment,Debit card,Invested in mutual funds,433.16,8.34
2024-02-06,Stationary,UPI,Bought a new set of markers and notepads,465.18,17.53
2024-02-11,Bills,Debit card,WiFi charges for the month,357.16,5.98
2024-02-11,Subscription,Cash,Monthly Hotstar subscription,313.16,11.24
2024-02-25,Investment,Cash,Invested in mutual funds,50.31,17.21
2024-02-07,Transportation,wallet,Bus fare for commuting,162.26,9.55
2024-02-15,Bills,wallet,Paid for monthly WiFi subscription,379.61,8.59
2024-02-12,Groceries,Cash,Weekly grocery run,388.67,13.51
2024-02-12,Transportation,Credit card,Bus fare for commuting,314.35,16.91
2024-02-21,Transportation,Debit card,Taxi fare to the office,141.27,10.19
2024-02-20,Bills,wallet,Paid for monthly WiFi subscription,318.6,15.59
2024-02-10,Bills,UPI,Paid for monthly WiFi subscription,167.11,16.38
2024-02-05,Investment,Debit card,Invested in mutual funds,472.59,12.94
2024-02-11,Stationary,UPI,Office supplies for the new quarter,79.43,7.48
2024-02-23,Subscription,Credit card,Paid for Netflix subscription,168.72,10.83
2024-02-14,Bills,Cash,Paid for monthly WiFi subscription,67.3,6.41
2024-02-07,Bills,UPI,Gas bill payment,363.21,6.53
2024-02-27,Investment,Credit card,Monthly contribution to retirement fund,250.71,7.56
